STATE/UT,DISTRICT,Year,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnaping & Abduction,Kidnaping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Kidnaping & Abduction_Others,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Sexual Harassment,Assault on women with intent to Disrobe,Voyeurism,Stalking,Others,Insult to the Modesty of Women,At Office premises,In places related to work,In Public Transport system,In other Places,Cruelty by Husband or his Relatives,Importation of Girls ,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Deaths caused with intent to cause miscarriage,Causing miscarriage without consent of women,Dacoity_Total,Dacoity with Murder,Other Dacoity,Robbery,Arson,HumanTrafficking,Abetment of Suicides of Women,UnNatural Offences,Other IPC Crimes,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986","Commission of Sati Prevention Act, 1987","Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,ITP Under Section 5,ITP Under Section 6,ITP Under Section 7,ITP Under Section 8,ITP Under Other Sections,Other SLL Crimes against Women,Total Crimes against Women
ANDHRA PRADESH,PRAKASHAM,2014,50,0,0,0,50,2,48,8,50,17,0,0,11,22,8,197,24,3,7,13,150,16,0,0,0,16,402,0,24,11,1,0,2,2,0,0,0,0,0,0,0,10,4,0,0,0,0,1,2,0,0,12,12,0,0,0,0,0,798
ANDHRA PRADESH,RAJAHMUNDRY,2014,35,0,0,0,35,1,34,3,8,0,0,1,2,5,3,121,37,6,0,17,61,27,0,0,0,27,190,0,10,10,0,0,1,1,0,0,0,0,0,0,0,6,1,0,3,0,90,0,0,0,0,0,0,0,0,0,0,0,508
ANDHRA PRADESH,SRIKAKULAM,2014,40,0,0,0,40,1,39,3,10,5,0,0,5,0,3,214,26,45,0,22,121,91,0,6,6,79,298,0,11,8,1,0,18,17,1,0,0,0,0,0,0,4,1,0,22,0,10,0,1,0,0,3,3,0,0,0,0,2,740
ANDHRA PRADESH,TIRUPATHI URBAN,2014,18,0,0,0,18,1,17,5,17,1,0,0,9,7,13,60,2,2,0,5,51,21,0,0,0,21,167,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,322
ANDHRA PRADESH,VIJAYAWADA CITY,2014,64,0,0,0,64,0,64,4,27,6,0,0,11,10,10,279,40,15,9,91,124,212,0,0,1,211,642,0,9,8,0,0,1,1,0,0,0,0,0,0,0,0,5,1,29,0,19,0,0,0,0,50,0,0,0,0,50,2,1362
ANDHRA PRADESH,VIJAYAWADA RAILWAY,2014,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,8,4,0,1,0,3,6,0,4,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,25
ANDHRA PRADESH,VISAKHA RURAL,2014,38,0,0,0,38,0,38,0,15,12,0,0,2,1,4,129,35,13,1,6,74,57,0,0,0,57,166,0,8,9,2,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433
ANDHRA PRADESH,VISAKHAPATNAM,2014,84,0,0,0,84,0,84,0,50,50,0,0,0,0,13,147,50,0,0,27,70,112,0,0,0,112,371,0,8,13,0,0,16,15,1,0,0,0,1,0,1,6,2,0,0,0,92,0,0,0,0,21,0,0,0,0,21,2,938
ANDHRA PRADESH,VIZIANAGARAM,2014,47,0,0,0,47,1,46,1,19,0,0,0,0,19,8,225,0,0,0,0,225,327,0,0,0,327,330,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,972
ANDHRA PRADESH,WEST GODAVARI,2014,146,0,0,0,146,1,145,46,45,18,0,0,8,19,24,405,126,72,12,32,163,99,0,1,0,98,661,0,37,22,1,0,7,6,1,0,0,0,0,0,0,6,0,0,12,0,94,0,0,0,0,5,4,0,0,0,1,1,1611
